run,time
1359,5074278
1360,5036407
1361,5482383
1362,4861624
1363,5024855
1364,5017245
1365,5064120
1366,4856686
1367,4829358
1368,4738682
1369,4851396
1370,4885057
1371,5875659
1372,4779567
1373,5365569
1374,6526000
1375,6326701
1376,4820386
1377,4705236
1378,4656795
1379,4495657
1380,4765315
1381,4860600
1382,4698487
1383,4557654
1384,4481736
1385,4668299
1386,6672412
1387,4790880
1388,4813172
1389,4767796
1390,4786236
1391,4955040
1392,4804826
1393,4786241
1394,4805473
1395,4869591
1396,5034853
1397,5188485
1398,5290537
1399,5327647
1400,4979574
1401,5035202
1402,5039155
1403,5154074
1404,5089024
1405,5164723
1406,5121344
1407,5508754
1408,5343993
1409,4812968
1410,4789260
1411,4687387
1412,4936931
1413,4374904
1414,4749240
1415,4714687
1416,4751408
1417,4797679
1418,4605612
1419,4718628
1420,4819419
1421,4685474
1422,4720536
1423,4456309
1424,4789069
1425,4663628
1426,4913043
1427,4844335
1428,5740526
1429,5079090
1430,4976246
1431,4784943
1432,4892459
1433,5165616
1434,6034765
1435,5105045
1436,5048280
1437,4823636
1438,5007512
1439,5021367
1440,5049588
1441,4947749
1442,4999411
1443,5104308
1444,4990117
1445,5030582
1446,4744535
1447,4900648
1448,4749881
1449,4689500
1450,4650139
1451,4578110
1452,4632598
1453,4486548
1454,4521003
1455,4406355
1456,4526695
1457,4462394
1458,4424616
1459,4481835
1460,4697861
1461,4722054
1462,4585575
1463,4644084
1464,4695166
1465,4833313
1466,6768534
1467,4980100
1468,4775286
1469,4909812
1470,4980208
1471,4793048
1472,5023064
1473,4860510
1474,5133704
1475,5100850
1476,4891055
1477,4811941
1478,4831295
1479,4952426
1480,5021742
1481,5070265
1482,5018504
1483,5030178
1484,4878720
1485,4684334
1486,4687251
1487,4820644
1488,4628785
1489,4707620
1490,4584945
1491,4514027
1492,4582746
1493,4688627
1494,4668621
1495,4624527
1496,4424092
1497,4633030
1498,4817609
1499,4563513
1500,5922518
1501,4564053
1502,4643350
1503,4799962
1504,4628460
1505,4644298
1506,4670025
1507,4708574
1508,4734173
1509,4994589
1510,4937703
1511,4727887
1512,4820491
1513,4999816
1514,6019546
1515,5371373
1516,7900662
1517,4838417
1518,4900409
1519,4904684
1520,4955448
1521,4797149
1522,4744749
1523,4744184
1524,4756588
1525,5051821
