n,time
20,23400
20,23400
20,23300
20,23300
20,23300
20,23400
20,23400
20,30400
20,23400
20,23300
20,23300
20,23400
20,37400
20,23300
20,30300
20,23500
20,23400
20,23400
20,23400
20,36000
20,46500
20,37500
20,36300
20,38900
20,39200
20,55300
20,38400
20,48500
20,38200
20,38300
20,38900
20,23500
20,23300
20,23300
20,36800
20,23300
20,23400
20,23300
20,23400
20,23400
20,23400
20,23300
20,23300
20,23300
20,23300
20,23400
20,23400
20,23300
20,37500
20,23300
20,23300
20,23300
20,37500
20,23300
20,25800
20,38000
20,37200
20,37300
20,37200
20,37200
20,37100
20,36900
20,37300
20,37100
20,37400
20,37900
20,23200
20,36600
20,33700
20,37300
20,37300
20,37400
20,36600
20,33200
20,36300
20,41900
20,34600
20,33900
20,36100
20,36400
20,36200
20,36600
20,34900
20,38700
20,33800
20,37400
20,37500
20,37500
20,37200
20,37500
20,37200
20,33800
20,37400
20,37700
20,35400
20,37800
20,38000
20,39300
20,56700
20,56700
20,44600
20,37100
20,38400
20,37800
20,37700
20,38400
20,37800
20,24300
20,37900
20,37900
20,38400
20,37800
20,37900
20,23400
20,38100
20,38300
20,37500
20,37500
20,35200
20,23400
20,37900
20,23400
20,23300
20,23200
20,23400
20,23300
20,23300
20,23300
20,23300
20,23300
20,23300
20,32600
20,37400
20,37000
20,23400
20,26800
20,35900
20,47400
20,35000
20,36900
20,36400
20,23300
20,34000
20,38800
20,37400
20,35700
20,38300
20,25000
20,37300
20,37900
20,38000
20,38700
20,38400
20,37600
20,56800
20,38400
20,37000
20,38600
20,37800
20,37500
20,39700
20,38700
20,38300
20,38800
